Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
36269000;-3.192779E+000;8.814280E+000;-1.552740E+002;-1.551929E+002;3.120117E+000
36282000;-6.064016E+000;7.579021E+000;-1.552740E+002;-1.552101E+002;1.538086E+000
36295000;-8.294305E+000;6.616595E+000;-1.552740E+002;-1.552539E+002;-4.833984E-001
36309000;-9.647909E+000;4.982473E+000;-1.552740E+002;-1.553379E+002;-2.416992E+000
36322000;-9.963445E+000;1.929190E+000;-1.552740E+002;-1.553908E+002;-3.955078E+000
36336000;-9.059361E+000;2.151372E-001;-1.552740E+002;-1.554296E+002;-4.965820E+000
36350000;-7.222329E+000;-9.193593E-001;-1.552740E+002;-1.554448E+002;-5.361328E+000
36364000;-4.397725E+000;-1.272996E+000;-1.552740E+002;-1.554526E+002;-5.317383E+000
36378000;-1.034797E+000;-1.006578E+000;-1.552740E+002;-1.554604E+002;-4.526367E+000
36391000;2.241590E+000;-2.117486E-001;-1.552740E+002;-1.554384E+002;-3.295898E+000
36405000;5.461489E+000;9.012250E-001;-1.552740E+002;-1.553977E+002;-1.450195E+000
36419000;8.012850E+000;2.101606E+000;-1.552740E+002;-1.553453E+002;5.712891E-001
36432000;9.508595E+000;3.642172E+000;-1.552740E+002;-1.553027E+002;2.329102E+000
36446000;9.993198E+000;6.165612E+000;-1.552740E+002;-1.552397E+002;3.867188E+000
36459000;9.346782E+000;7.965550E+000;-1.552740E+002;-1.552151E+002;4.965820E+000
36473000;7.550121E+000;9.067912E+000;-1.552740E+002;-1.551983E+002;5.537109E+000
36487000;4.829256E+000;9.715566E+000;-1.552740E+002;-1.551725E+002;5.405273E+000
36500000;1.765031E+000;9.680418E+000;-1.552740E+002;-1.551796E+002;4.746094E+000
36514000;-1.733669E+000;8.898359E+000;-1.552740E+002;-1.551933E+002;3.471680E+000
36528000;-5.020152E+000;7.826928E+000;-1.552740E+002;-1.551972E+002;2.021484E+000
36542000;-7.692122E+000;6.523118E+000;-1.552740E+002;-1.552414E+002;0.000000E+000
36555000;-9.422503E+000;4.959099E+000;-1.552740E+002;-1.553075E+002;-2.021484E+000
36569000;-9.999483E+000;1.890130E+000;-1.552740E+002;-1.553865E+002;-3.691406E+000
36583000;-9.438398E+000;2.223599E-002;-1.552740E+002;-1.554232E+002;-4.833984E+000
36596000;-7.722565E+000;-9.691123E-001;-1.552740E+002;-1.554464E+002;-5.361328E+000
36610000;-5.276446E+000;-1.628255E+000;-1.552740E+002;-1.554540E+002;-5.361328E+000
36623000;-2.027303E+000;-1.585397E+000;-1.552740E+002;-1.554594E+002;-4.921875E+000
36637000;1.501500E+000;-1.039109E+000;-1.552740E+002;-1.554357E+002;-3.735352E+000
36651000;4.815304E+000;3.851627E-001;-1.552740E+002;-1.553941E+002;-1.933594E+000
36665000;7.539669E+000;1.301041E+000;-1.552740E+002;-1.553439E+002;-8.789063E-002
