Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
64074000;0.000000E+000;1.562749E+000;7.538266E+000;1.789442E-001
64087000;0.000000E+000;1.883130E+000;1.994866E+001;-2.181383E-001
64099000;0.000000E+000;1.540790E+000;4.814857E+000;-1.578917E-001
64111000;0.000000E+000;1.309064E+000;-1.586653E+001;1.639901E-001
64125000;0.000000E+000;1.315361E+000;-1.532165E+001;3.321447E-001
64139000;0.000000E+000;1.641762E+000;7.538266E+000;3.866357E-002
64152000;0.000000E+000;1.910422E+000;1.994866E+001;-2.557985E-001
64164000;0.000000E+000;1.724060E+000;6.664962E+000;-2.398201E-001
64176000;0.000000E+000;1.339145E+000;-1.461798E+001;6.435615E-002
64189000;0.000000E+000;1.175873E+000;-1.750502E+001;2.926856E-001
64202000;0.000000E+000;1.546145E+000;5.716096E+000;1.795445E-001
64216000;0.000000E+000;1.723291E+000;1.999377E+001;-2.360807E-001
64230000;0.000000E+000;1.542302E+000;4.814857E+000;-2.374245E-001
64243000;0.000000E+000;1.110178E+000;-1.696708E+001;1.703769E-001
64255000;0.000000E+000;1.010098E+000;-1.649024E+001;3.072495E-001
64269000;0.000000E+000;1.400784E+000;7.538266E+000;1.076556E-001
64283000;0.000000E+000;1.602467E+000;1.971748E+001;-2.672950E-001
64297000;0.000000E+000;1.276373E+000;9.975928E-001;-1.849477E-001
64310000;0.000000E+000;9.481642E-001;-1.868464E+001;1.453082E-001
64323000;0.000000E+000;1.296944E+000;-1.256797E+001;2.699705E-001
64337000;0.000000E+000;1.563482E+000;1.251835E+001;-2.138102E-002
64349000;0.000000E+000;1.722164E+000;1.930239E+001;-2.816283E-001
64363000;0.000000E+000;1.270301E+000;-9.339610E-001;-1.358448E-001
64377000;0.000000E+000;1.119065E+000;-1.970671E+001;1.989571E-001
64390000;0.000000E+000;1.360551E+000;-7.597235E+000;2.305237E-001
64404000;0.000000E+000;1.623315E+000;1.645411E+001;-9.599957E-002
64417000;0.000000E+000;1.757815E+000;1.590523E+001;-3.001396E-001
64430000;0.000000E+000;1.414116E+000;-4.753000E+000;-1.768196E-001
64443000;0.000000E+000;1.031383E+000;-1.994400E+001;2.416289E-001
64456000;0.000000E+000;1.396477E+000;-7.597235E+000;2.353753E-001
64468000;0.000000E+000;1.594471E+000;1.396461E+001;-7.392105E-002
64481000;0.000000E+000;1.654976E+000;1.700072E+001;-2.866745E-001
64495000;0.000000E+000;1.172619E+000;-6.604863E+000;-7.211721E-002
64508000;0.000000E+000;9.349601E-001;-1.999526E+001;2.529945E-001
64520000;0.000000E+000;1.286711E+000;-7.597235E+000;2.669686E-001
64532000;0.000000E+000;1.533355E+000;1.285033E+001;-3.610694E-002
64545000;0.000000E+000;1.555352E+000;1.896466E+001;-2.792469E-001
64557000;0.000000E+000;1.205970E+000;-9.645980E-001;-1.976345E-001
64570000;0.000000E+000;9.450756E-001;-1.894433E+001;1.271185E-001
64582000;0.000000E+000;1.023084E+000;-1.131398E+001;2.911256E-001
64595000;0.000000E+000;1.523062E+000;1.285033E+001;-2.714425E-003
64609000;0.000000E+000;1.749625E+000;1.823843E+001;-2.470507E-001
64623000;0.000000E+000;1.415214E+000;-4.901823E+000;-7.265803E-002
64637000;0.000000E+000;9.421152E-001;-1.994765E+001;2.354660E-001
64651000;0.000000E+000;1.196690E+000;-2.053730E+000;1.698771E-001
64663000;0.000000E+000;1.476421E+000;1.779236E+001;-1.556892E-001
64676000;0.000000E+000;1.487715E+000;1.209623E+001;-2.601973E-001
64690000;0.000000E+000;1.026139E+000;-1.357452E+001;8.120820E-002
64703000;0.000000E+000;6.953914E-001;-1.782136E+001;2.841758E-001
64716000;0.000000E+000;1.130571E+000;3.960941E+000;1.502042E-001
64728000;0.000000E+000;1.350656E+000;1.969369E+001;-1.651936E-001
64742000;0.000000E+000;1.280765E+000;6.867002E+000;-1.659354E-001
64755000;0.000000E+000;7.677292E-001;-1.621452E+001;1.514003E-001
64768000;0.000000E+000;7.523811E-001;-1.567062E+001;3.124966E-001
64781000;0.000000E+000;1.041967E+000;7.764968E+000;1.341972E-001
64794000;0.000000E+000;1.380945E+000;1.984691E+001;-2.531948E-001
64807000;0.000000E+000;1.194463E+000;3.010839E+000;-1.982121E-001
64821000;0.000000E+000;7.683082E-001;-1.821219E+001;1.145776E-001
